1|3|6/1/2022|8|1
1|3|6/2/2022|8|1
1|3|6/3/2022|8|1
1|3|6/6/2022|8|1
1|3|6/7/2022|8|1
1|3|6/8/2022|8|1
1|3|6/9/2022|8|1
1|3|6/10/2022|8|1
1|3|6/13/2022|8|1
1|3|6/14/2022|8|1
1|3|6/15/2022|8|1
1|3|6/16/2022|8|1
1|3|6/17/2022|8|1
1|3|6/20/2022|8|1
1|3|6/21/2022|8|1
1|3|6/22/2022|8|1
1|3|6/23/2022|8|1
1|3|6/24/2022|8|1
2|4|6/1/2022|8|1
2|4|6/2/2022|8|1
2|4|6/3/2022|8|1
2|4|6/6/2022|8|1
2|5|6/7/2022|8|1
2|5|6/8/2022|8|1
2|4|6/9/2022|8|1
2|4|6/10/2022|8|1
2|5|6/13/2022|8|1
2|5|6/14/2022|8|1
2|5|6/15/2022|8|1
2|5|6/16/2022|8|1
2|5|6/17/2022|8|1
2|5|6/20/2022|8|1
2|5|6/21/2022|8|1
2|6|6/22/2022|8|1
2|6|6/23/2022|8|1
2|6|6/24/2022|8|1
3|5|6/1/2022|8|1
3|5|6/2/2022|8|1
3|5|6/3/2022|8|1
3|4|6/6/2022|8|1
3|4|6/7/2022|8|1
3|4|6/8/2022|5|1
3|5|6/8/2022|3|1
3|5|6/9/2022|8|1
3|5|6/10/2022|8|1
3|5|6/13/2022|8|1
3|5|6/14/2022|8|1
3|5|6/15/2022|4|1
3|5|6/16/2022|8|1
3|5|6/17/2022|8|1
3|4|6/20/2022|8|1
3|4|6/21/2022|8|1
3|5|6/22/2022|8|1
3|1|6/23/2022|8|1
3|1|6/24/2022|8|1
4|6|6/1/2022|8|1
4|6|6/2/2022|8|1
4|6|6/3/2022|8|1
4|6|6/6/2022|8|1
4|6|6/7/2022|8|1
4|6|6/8/2022|8|1
4|6|6/9/2022|8|1
4|6|6/10/2022|8|1
4|6|6/13/2022|8|1
4|6|6/14/2022|8|1
4|6|6/15/2022|8|1
4|6|6/16/2022|8|1
4|6|6/17/2022|8|1
4|6|6/20/2022|8|1
4|6|6/21/2022|8|1
4|6|6/22/2022|8|1
4|6|6/23/2022|8|1
4|6|6/24/2022|8|1
